Chapter,English,French,Pages
Supp2-1,Anti-dumping Act Amendment,Loi modifiant la Loi antidumping,27-30
Supp2-2,Bail Reform Act,Loi sur la reforme du cautionnement,31-98
Supp2-3,Civilian War Pensions and Allowances Act Amendment,Loi modifiant la Loi sur les pensions et allocations de guerre pour les civils,99-102
Supp2-4,Copyright Act Amendment,Loi modifiant la Loi sur le droit d'auteur,103-104
Supp2-5,Crop Insurance Act Amendment,Loi modifiant la Loi sur l'assurance-recolte,105-106
Supp2-6,Electricity Inspection Act Amendment,Loi modifiant la Loi sur l'inspection de l'e1ectricite,107-108
Supp2-7,Emergency Gold Mining Assistance Act Amendment,Loi modifiant la Loi d'urgence sur l'aide l'exploitation des mines d'or,109-110
Supp2-8,Export Development Act Amendment,Loi modifiant la Loi sur l'expansion des exportations,111-114
Supp2-9,Farm Improvement Loans Act Amendment,Loi modifiant la Loi sur les prets destines aux ame-liorations agricoles,115-116
Supp2-10,Federal Court Act,Loi sur la Cour federale,117-196
Supp2-11,Financial Administration Act Amendment,Loi modifiant la Loi sur l'administration financiere,197-198
Supp2-12,"Fisheries Convention, Northwest Atlantic, Act Amendment",Loi modifiant la Loi sur la Convention pour les pecheries de l'Atlantique nord-ouest,199-200
Supp2-13,Fisheries Improvement Loans Act Amendment,Loi modifiant la Loi sur les prets aidant aux operations de peche,201-202
Supp2-14,"Government Organization Act, 1970",Loi de 1970 sur l'organisation du gouvernement,"203-215,217-222"
Supp2-15,"Grain, Canada, Act, Consequential Amendments from sections 107 to 112","Loi sur les grains du Canada, modifications consecutives aux articles 107 a 112",223-228
Supp2-16,Judges Act Amendment,Loi modifiant la Loi sur les juges,229-242
Supp2-17,"Labour Code, Canada, Amendment",Loi modifiant le Code canadien du travail,243-262
Supp2-18,Members of Parliament Retiring Allowances Act Amendment,Loi modifiant la Loi sur les allocations de retraite des membres du Parlement,263-264
Supp2-19,Merchant Seamen Compensation Act Amendment,Loi modifiant la Loi sur l'indemnisation des marins marchands,265-270
Supp2-20,Official Residences Act (Prime Minister's Residence Act Amendment),Loi sur les residences officielles (Loi modifiant la Loi sur la residence du premier ministre),271-276
Supp2-21,Old Age Security Act Amendment,Loi modifiant la Loi sur la security de la vieillesse,277-294
Supp2-22,Pension Act Amendment,Loi modifiant la Loi sur les pensions,295-335
Supp2-23,Post Office Act Amendment,Loi modifiant la Loi sur les postes,341-346
Supp2-24,Prairie Grain Advance Payments Act Amendment,Loi modifiant la Loi sur les paiementa anticipes pour le grain des Prairies,347-358
Supp2-25,Regional Development Incentives Act Amendment,Loi modifiant la Loi sur les subventions au developpement regional,359-368
Supp2-26,Senate and House of Commons Act Amendment,Loi modifiant la Loi sur le Senate et la Chambre des communes,369-370
Supp2-27,"Shipping, Canada, Act Amendment",Loi modifiant la Loi sur la marine marchande du Canada,371-402
Supp2-28,Small Businesses Loans Act Amendment,Loi modifiant la Loi sur les prets aux petites entreprises,403-404
Supp2-29,"Statutory Instruments Act, Consequential Amendments from sections 28, 30 and 31","Loi sur les textes reglementaires, modifications conscutives aux articles 28, 30 et 31",405-410
Supp2-30,Supplementary Retirement Benefits Act Amendment,Loi modifiant la Loi sur les prestations de retraite supplementaires,411-412
Supp2-31,Temporary Wheat Reserves Act,Loi sur les reserves provisoires de ble,413-416
Supp2-32,"Textile and Clothing Board Act, Consequential Amendments from sections 26 and 27","Loi sur la Commission du textile et du vetement, modifications consecutives aux articles 26 et 27",417-418
Supp2-33,"Unemployment Insurance Act, 1971, Consequential Amendments from subsection 157(1)","Loi de 1971 sur l'assurance-chomage, modifications consecutives au paragraphe 157(1)",419-419
Supp2-34,War Veterans Allowance Act Amendment,Loi modifiant la Loi sur les allocations aux anciens combattants,421-421
